City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto natales,-51.7236,-72.4875,32.49,93,100,4.92,CL,1684625780
1,loango,-4.6719,11.8312,75.06,88,99,2.48,CG,1684625792
2,albany,42.6001,-73.9662,64.72,92,100,1.01,US,1684625792
3,melo,-32.3667,-54.1833,58.95,89,100,8.43,UY,1684625792
4,nayoro,44.3506,142.4578,51.82,85,100,3.15,JP,1684625792
5,pokrovsk,48.282,37.1758,55.56,95,53,12.1,UA,1684625792
6,thompson,55.7435,-97.8558,50.16,37,20,10.36,CA,1684625793
7,adamstown,-25.066,-130.1015,75.96,83,72,16.82,PN,1684625777
8,atafu village,-8.5421,-172.5159,84.42,75,46,16.91,TK,1684625782
9,guarapari,-20.6667,-40.4975,72.9,85,0,3.09,BR,1684625604
10,laguna,38.421,-121.4238,89.31,48,0,6.91,US,1684625794
11,utrik,11.2278,169.8474,82.08,82,85,12.01,MH,1684625794
12,aykhal,66.0,111.5,27.46,89,99,16.13,RU,1684625783
13,port augusta,-32.5,137.7667,58.78,72,59,3.2,AU,1684625794
14,iquique,-20.2208,-70.1431,66.24,80,100,3.36,CL,1684625638
15,maceio,-9.6658,-35.7353,74.64,94,100,5.75,BR,1684625620
16,mountain home,43.133,-115.6912,89.08,17,0,7.0,US,1684625794
17,guatrache,-37.6678,-63.5302,47.05,46,0,12.73,AR,1684625794
18,mount gambier,-37.8333,140.7667,56.1,59,64,7.2,AU,1684625794
19,stanley,54.868,-1.6985,51.82,77,0,3.44,GB,1684625794
20,la passe,45.5549,-0.8967,61.03,93,75,8.77,FR,1684625794
21,port-aux-francais,-49.35,70.2167,40.41,61,86,16.82,TF,1684625775
22,bardai,11.65,7.2333,76.21,75,95,12.35,NG,1684625786
23,rongelap,11.1635,166.8941,82.09,82,100,13.0,MH,1684625794
24,waitangi,-43.9535,-176.5597,61.83,92,55,11.01,NZ,1684625779
